id,title,description,price,condition,link,image_link,availability,brand
99,SKIN1004 Centella Travel Kit(soothing care),"طقم العناية المصغر سينتيلا من سكين1004 يحتوي على 5 منتجات بحجم السفر 🔹 تركيبة مستخلصة من Centella Asiatica لتهدئة وترميم البشرة 🔹 مناسب للبشرة الحساسة والمعرضة للتهيج 🔹 مثالي للسفر أو لتجربة روتين العناية الكوري الأصلي 🔹 منتج كوري أصلي بتركيبة نباتية لطيفة وآمنة
",1399,new,https://skin-care-5ibj.vercel.app/ProductDetail/99,https://glowsecert.runasp.net//files/ProductsImages/70e76a4a-9e5a-4447-883c-d950eca09165641164444_4340599186180435_2947536273800433139_n.jpg,in-stock,skin1004
96,SKIN1004 Madagascar Centella Poremizing Travel Kit(porecare),طقم 4 منتجات كورية فعّالة لعلاج المسام والدهون الزائدة. يحتوي على مستخلص سنتيلا + ملح الهيمالايا لتنقية البشرة. تركيبة خفيفة تناسب البشرة المختلطة والدهنية والحساسة. تصميم صغير وسهل الحمل مثالي للسفر والتنقل. نتائج واضحة في تنعيم ملمس البشرة وتقليل اللمعان. خالٍ من الكحول والعطور الصناعية آمن للبشرة الحساسة.,1399,new,https://skin-care-5ibj.vercel.app/ProductDetail/96,https://glowsecert.runasp.net//files/ProductsImages/330d75a1-c7a0-4193-ae08-f981cef9ca0d651877520_1255305250087143_188122114135850931_n.jpg,in-stock,skin1004
100,centella tea-trica travel kit9acne care),"Tea-Trica BHA Foam (20ml): منظف رغوي يحتوي على حمض الساليسيليك (BHA) لإزالة الزيوت الزائدة والشوائب بعمق. Tea-Trica Purifying Toner (30ml): تونر يعمل على تقشير خلايا الجلد الميتة بلطف وتنقية المسام. Tea-Trica Relief Ampoule (30ml): أمبولة مركزة تعمل كعلاج سريع لتهدئة الاحمرار وتقليل حجم البثور. Tea-Trica B5 Cream (30ml): كريم مرطب يحتوي على فيتامين B5 لتقوية حاجز البشرة وترطيبها دون ترك أثر دهني.
",1399,new,https://skin-care-5ibj.vercel.app/ProductDetail/100,https://glowsecert.runasp.net//files/ProductsImages/4bb07446-1bc1-4521-a867-a3e7b5ffa3e6652063219_1270064191738590_2481471468203570037_n.jpg,in-stock,skin1004
97,SKIN1004 Madagascar Centella Even Tone Kit(brightening care),"4 منتجات كاملة في طقم واحد لبشرة متوازنة ومشرقة تحتوي على مستخلص سنتيلا أسياتيكا النقي بنسبة عالية توحد لون البشرة وتقلل من التصبغات والبقع تهدئ الاحمرار والتهيج وتعزز الترطيب العميق مناسبة للبشرة المختلطة والحساسة مثالية كروتين متكامل للعناية اليومية
",1399,new,https://skin-care-5ibj.vercel.app/ProductDetail/97,https://glowsecert.runasp.net//files/ProductsImages/bdfeaef8-0d93-4846-87db-e363670d5e17640181884_1236950808038652_3377184967528851388_n.jpg,in-stock,skin1004
101,Anua Serum Mini Discovery Set,"3 سيرومات أساسية في مجموعة واحدة تلبي أهم احتياجات البشرة اليومية روتين متكامل يجمع بين الترطيب، التهدئة، والإشراقة أحجام ميني عملية مثالية للتجربة قبل شراء الحجم الكامل تركيبات لطيفة مناسبة لجميع أنواع البشرة بما فيها الحساسة تساعد على تحسين ملمس البشرة ومظهرها خلال فترة قصيرة
",1199,new,https://skin-care-5ibj.vercel.app/ProductDetail/101,https://glowsecert.runasp.net//files/ProductsImages/d1f56d0d-eda3-4edc-9407-f2d359e42a69654408964_1495088322131315_3130731259088775255_n.jpg,in-stock,anua
102,COSRX – ALL ABOUT SNAIL KIT 4-step,"طقم متكامل للعناية بالبشرة في 4 خطوات فعالة. يحتوي على مستخلص الحلزون لتجديد البشرة وترميمها. يرطب بعمق، يعزز إشراقة البشرة، ويوحد لونها. مناسب لجميع أنواع البشرة، خاصة الجافة والحساسة.
",1099,new,https://skin-care-5ibj.vercel.app/ProductDetail/102,https://glowsecert.runasp.net//files/ProductsImages/81f686f7-fbc5-4f5c-ab0f-e8ab22d497ba640601572_2212339482905491_6437823216482647423_n.jpg,in-stock,cosrx
71,SKIN1004 MADAGASCAR CENTELLA Double Cleansing Duo,"يعد طقم SKIN1004 Madagascar Centella Double Cleansing Duo نظاماً متكاملاً لتنظيف البشرة بعمق ولطف في خطوتين، وهو مصمم خصيصاً ليناسب جميع أنواع البشرة، بما في ذلك البشرة الحساسة والمعرضة لحب الشباب -------------------- مكونات المجموعة يتضمن الطقم منتجين بالحجم الكامل: Madagascar Centella Light Cleansing Oil (200ml): زيت تنظيف خفيف الوزن يعتمد على تقنية الميسيلار لإزالة المكياج المقاوم للماء وواقي الشمس والشوائب الزيتية دون سد المسام أو ترك أثر دهني. Madagascar Centella Ampoule Foam (125ml): غسول رغوي لطيف بتركيبة حمضية متوازنة (pH 5) تنظف المسام بعمق من الأتربة والشوائب المتبقية باستخدام صودا الخبز والمنظفات المستخلصة من جوز الهند، دون تجريد البشرة من رطوبتها الطبيعية
",1599,new,https://skin-care-5ibj.vercel.app/ProductDetail/71,https://glowsecert.runasp.net//files/ProductsImages/6a38318d-9d2a-4a56-929a-d5724e7313ea643857444_4360721927589249_739267184584970909_n.jpg,in-stock,skin1004
69,SKIN1004 Madagascar Centella Glow 1004 Duo مجموعة العناية بالبشرة,"مجموعة عناية بالبشرة تحتوي على Ampoule مهدئ وSun Serum واقٍ من الشمس بتركيبة غنية بمستخلص السنتيلا للمساعدة على تهدئة البشرة وتقوية حاجزها الطبيعي، مع ترطيب عميق وحماية يومية من العوامل الخارجية. تعمل هذه المجموعة على دعم صحة البشرة وتحسين مرونتها، مع الحفاظ على ترطيبها وتهدئتها، مما يجعلها مناسبة للاستخدام اليومي.
",1549,new,https://skin-care-5ibj.vercel.app/ProductDetail/69,https://glowsecert.runasp.net//files/ProductsImages/4226890e-88c5-4275-b229-879813a7c262650347509_798295189987479_3205438726789456963_n.jpg,in-stock,skin1004
62,غسول السنتيلا الرغوي SKIN1004 Madagascar Centella Ampoule Foam 125ml,"يحتوي على مستخلص السنتيلا الطبيعي لتهدئة البشرة. ينظف المسام بفعالية ويزيل الشوائب دون تجفيف البشرة. يحافظ على توازن ترطيب البشرة الطبيعي. مناسب لجميع أنواع البشرة، خاصة الحساسة.
",950,new,https://skin-care-5ibj.vercel.app/ProductDetail/62,https://glowsecert.runasp.net//files/ProductsImages/1911bfcb-105e-42d4-910f-76279f8e8c91651887527_946222544449501_146550053806005648_n.jpg,in-stock,skin1004
55,SKIN1004 Madagascar Centella Light Cleansing Oil 200 ML,"غسول زيتي خفيف يزيل الشوائب والمكياج بفعالية يحتوي على مستخلص السنتيلا وزيوت طبيعية تحافظ على ترطيب البشرة مثالي للبشرة الحساسة، يهدئ التهيج ويمنح شعورًا بالراحة
",1199,new,https://skin-care-5ibj.vercel.app/ProductDetail/55,https://glowsecert.runasp.net//files/ProductsImages/e00d54f9-4c37-4d6c-bf0a-937146a094c5649433889_2048950609007094_5541894616111941392_n.jpg,in-stock,skin1004
46,سيروم تعزيز الشباب بالببتيد و NAD+ من إيكوال بيري EQQUALBERRY NAD+ PEPTIDE BOOSTING SERUM,"سيروم تعزيز الشباب بالببتيد و NAD+ من إيكوال بيري – EQQUALBERRY NAD+ Peptide Boosting Serum 🍇⚡ شاحن الطاقة والمرونة لبشرتك.. رجعي الزمن لورا! لو حاسة إن بشرتك “كسلانة”، فقدت مرونتها، أو بدأت تظهر عليها علامات إرهاق وتجاعيد خفيفة، يبقى خلايا بشرتك محتاجة “وقود”. سيروم إيكوال بيري الجديد بيقدم لك تكنولوجيا المستقبل بمكون الـ NAD+ والببتيدات، عشان يصحي الخلايا من تاني ويرجع لبشرتك الحيوية والمرونة اللي افتقدتها. 🧪 إيه هو سر التركيبة المتطورة دي؟ مكون NAD+ الثوري: ده الوقود اللي بيشغل خلايا جسمنا! لما بنكبر، نسبة الـ NAD+ بتقل، فالبشرة بتعجز. السيروم ده بيعوض النقص ده، فبيحفز الخلايا إنها تشتغل وتتجدد كأنها لسه شابة، وبيدي نضارة وحيوية ملحوظة. مركب الببتيدات (Peptide Complex): الببتيدات هي “المهندس” اللي بيدي أوامر للبشرة إنها تنتج كولاجين وإيلاستين أكتر. ده بيساعد في شد الجلد، تقليل الخطوط الرفيعة، وتصغير شكل المسام الواسعة (Vertical Pores) اللي بتظهر مع السن. مستخلصات التوت (Berry Extracts): غنية جداً بمضادات الأكسدة اللي بتحمي البشرة من التلف، وبتهدي البشرة الحساسة.
",1349,new,https://skin-care-5ibj.vercel.app/ProductDetail/46,https://glowsecert.runasp.net//files/ProductsImages/2613093e-ca13-4bef-b7d4-d76cc8c14165650815854_1413263216790865_9205463356178593103_n.jpg,in-stock,eqqualberry
45,سيروم الباكوتشيول لملء وشد البشرة من إيكوال بيري EQQUALBERRY bakuchiol plumping serum,"🔹 سيروم باكوتشيول لنفخ البشرة من ايكوالبيري – بديل طبيعي للريتينول بتركيبة كورية آمنة 🔹 يساعد على تقليل التجاعيد والخطوط الدقيقة بفعالية بدون تهيج 🔹 يعزز امتلاء البشرة ويمنحها مظهر مشدود ونضر 🔹 مناسب للبشرة الحساسة، دون تقشير أو جفاف 🔹 تصميم أنيق بقطّارة يسهل التحكم في الكمية ويوفر استخدامًا نظيفًا
",1349,new,https://skin-care-5ibj.vercel.app/ProductDetail/45,https://glowsecert.runasp.net//files/ProductsImages/0df67a53-4b55-4399-9e64-4bc2c22923b4655661064_1886348685401350_6771305443493117796_n.jpg,in-stock,eqqualberry
49,كريم العين ماري اند ماي (Mary & May Tranexamic Acid + Glutathione Eye Cream,"أتركيبة مزدوجة من Tranexamic Acid وGlutathione لتفتيح الهالات يرطّب بعمق ويقلل من التجاعيد الدقيقة حول العين مناسب لجميع أنواع البشرة حتى الحساسة خالٍ من العطور والبارابين – آمن تمامًا لمنطقة العين منتج كوري موثوق بعناية طبية – الحجم المثالي للاستمرار
",850,new,https://skin-care-5ibj.vercel.app/ProductDetail/49,https://glowsecert.runasp.net//files/ProductsImages/c73f649a-17a4-4b9b-8823-48657d3f7c0e649963505_946201371159544_3452316570552620867_n.jpg,in-stock,mary&may
50,سيروم العين بالكولاجين النباتي من أكسيس-واي (Axis-Y Vegan Collagen Eye Serum,"سيروم نباتي بخلاصة الكولاجين يمنح منطقة العين ترطيبًا عميقًا يقلل من ظهور الخطوط الدقيقة والانتفاخات يعزز إشراق وحيوية البشرة حول العينين
",850,new,https://skin-care-5ibj.vercel.app/ProductDetail/50,https://glowsecert.runasp.net//files/ProductsImages/561b9c6b-ef90-4c1a-9c96-c6de270519a9651526940_1352900319930816_6688942628704594146_n.jpg,in-stock,axsi-y
58,Anua – Niacinamide 10% + TXA 4% Serum 30ml,"سيروم مكثف يحتوي على نياسيناميد 10% وTXA 4% لتفتيح البقع الداكنة. يعالج التصبغات بفعالية ويوحد لون البشرة. يحسن نسيج البشرة ويمنحها مظهرًا أكثر نعومة وإشراقًا.
",1299,new,https://skin-care-5ibj.vercel.app/ProductDetail/58,https://glowsecert.runasp.net//files/ProductsImages/0790129f-6027-440e-bfc1-06317c9a3034642294967_1440062770838849_5049926497971848925_n.jpg,in-stock,anua
57,Anua Azelaic Acid 10 + Hyaluron Redness Soothing Serum 30Ml,"سيروم فعال بتركيبة قوية من حمض الأزيليك بنسبة 10٪ وحمض الهيالورونيك. يهدئ الاحمرار ويقلل التهيج ويمنح ترطيبًا عميقًا للبشرة الحساسة. يُستخدم بسهولة في الروتين اليومي للحصول على بشرة متوازنة ومشرقة. مثالي للبشرة التي تعاني من الالتهاب أو الحبوب المتكررة.
",1299,new,https://skin-care-5ibj.vercel.app/ProductDetail/57,https://glowsecert.runasp.net//files/ProductsImages/3db287c9-39ad-42da-b459-9156e731ce2d644022946_912367481280063_6380691016562606232_n.jpg,in-stock,anua
60,ANUA – Rice 70 Glow Milky Toner 250ML,"ونر حليبي غني بماء نخالة الأرز بنسبة 70%. يرطب البشرة بعمق ويمنحها إشراقة صحية. يعزز حاجز البشرة الطبيعي ويحميها من الجفاف. قوام خفيف وسريع الامتصاص، مناسب لجميع أنواع البشرة.
",1250,new,https://skin-care-5ibj.vercel.app/ProductDetail/60,https://glowsecert.runasp.net//files/ProductsImages/7ec95b1d-77e7-4aaf-a0e3-c64e6f798c0e651494031_1268934458664100_3343093941024554252_n.jpg,in-stock,anua
83,Dr. Althea – Vitamin C 63% Boosting Serum 30ml,"يعزز إشراقة البشرة ويوحد لونها بلطف 🔹 يحتوي على مستخلص النبق البحري الغني بمضادات الأكسدة 🔹 قوام خفيف سريع الامتصاص – لا يترك أثرًا دهنيًا 🔹 منتج فيجن (Vegan) كوري أصلي آمن لجميع أنواع البشرة
",1199,new,https://skin-care-5ibj.vercel.app/ProductDetail/83,https://glowsecert.runasp.net//files/ProductsImages/e09122e0-edd8-4c11-9ccf-ff579a5ce10b652827607_1461112228950547_7053148721349114486_n.jpg,in-stock,dralthea
72,Dr. Althea 345 Relief Cream 50ml (New Formula),"كريم 345 ريليف مرطب يومي للوجه يغذي البشرة بعمق. يهدئ الاحمرار والحساسية ويعزز الحاجز الطبيعي للبشرة. مناسب لجميع أنواع البشرة، بما في ذلك البشرة الحساسة.
",1199,new,https://skin-care-5ibj.vercel.app/ProductDetail/72,https://glowsecert.runasp.net//files/ProductsImages/90825e04-4760-4336-91d5-8bea84eb4b71655120554_1467333168519637_5917881153176841141_n.jpg,in-stock,dr
75,Cosrx Advanced Snail 92 All In One Cream,"مرطب غني بموسين الحلزون 92٪ الذي يمنح البشرة تغذية ورطوبة بدون دهنية. يحتوي الكريم على 92% من بروتين لعاب الحلزون يساعد على حماية الجلد من فقدان الرطوبة مع تحسين مرونة الجلد يساعد مخاط الحلزون على إصلاح البشرة الحمراء والحساسة وتهدئتها من التشققات عن طريق تجديد الرطوبة.
",999,new,https://skin-care-5ibj.vercel.app/ProductDetail/75,https://glowsecert.runasp.net//files/ProductsImages/ba64af41-93d5-4df3-96f2-b83dc058cfd8649996830_1548556616856407_2320493855175270431_n.jpg,in-stock,cosrx
